name,platform,year_of_release,gendre,publisher,developer,rating
Apocalypse,PS,1998,Action,Activision,,
Rampage World Tour,N64,1998,Action,GT Interactive,,
WipEout 64,N64,1998,Racing,Midway Games,,
Rascal,PS,1998,Action,Psygnosis,,
JGTC: All-Japan Grand Touring Car Championship,PS,1998,Racing,TYO,,
Rush 2: Extreme Racing USA,N64,1998,Racing,Midway Games,,
International Superstar Soccer Pro '98,PS,1998,Sports,Konami Digital Entertainment,,
Tomb Raider: The Last Revelation,PC,1998,Action,Eidos Interactive,Core Design Ltd.,T
Quake II,PS,1998,Shooter,Activision,,
'98 Koshien,PS,1998,Sports,Magical Company,,
NHL 99,N64,1998,Sports,Electronic Arts,,
Thrasher Presents: Skate and Destroy,PS,1998,Sports,Take-Two Interactive,,
Extreme-G: XG2,N64,1998,Racing,Acclaim Entertainment,,
Wario Land II (GBC),GB,1998,Platform,Nintendo,,
Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,PS,1998,Racing,Human Entertainment,,
Ninja: Shadow of Darkness,PS,1998,Action,Eidos Interactive,,
Rogue Trip: Vacation 2012,PS,1998,Racing,GT Interactive,,
Yarudora Series Vol.1: Double Cast,PS,1998,Adventure,Sony Computer Entertainment,,
Virtua Fighter 3tb,DC,1998,Fighting,Sega,,
South Park Rally,PS,1998,Racing,Acclaim Entertainment,,
Blasto,PS,1998,Action,Sony Computer Entertainment,,
Rally Cross 2,PS,1998,Racing,989 Studios,,
Kurushi Final: Mental Blocks,PS,1998,Puzzle,Sony Computer Entertainment,,
Off Road Challenge,N64,1998,Racing,GT Interactive,,
Backstreet Billiards,PS,1998,Misc,ASCII Entertainment,,
Tiny Tank,PS,1998,Action,Sony Computer Entertainment,,
Bomberman World,PS,1998,Puzzle,Sony Computer Entertainment,,
Deathtrap Dungeon,PS,1998,Action,Eidos Interactive,,
BattleTanx,N64,1998,Action,3DO,,
Pitfall 3D: Beyond the Jungle,PS,1998,Platform,Activision,,
NHL Breakaway 98,N64,1998,Sports,Acclaim Entertainment,,
Heart of Darkness,PS,1998,Platform,Ocean,,
Sesame Street: Elmo's Letter Adventure,PS,1998,Misc,NewKidCo,,
Tiny Toon Adventures: The Great Beanstalk,PS,1998,Misc,Sony Computer Entertainment,,
Goemon's Great Adventure,N64,1998,Platform,Konami Digital Entertainment,,
Vigilante 8,N64,1998,Racing,Activision,,
Demolition Racer,PS,1998,Racing,Infogrames,,
NHL FaceOff 2000,PS,1998,Sports,Sony Computer Entertainment,,
South Park: Chef's Luv Shack,PS,1998,Misc,Acclaim Entertainment,,
Ehrgeiz,PS,1998,Fighting,SquareSoft,,
Kagero: Deception II,PS,1998,Strategy,Virgin Interactive,,
Viz,N64,1998,Racing,Acclaim Entertainment,,
Top Gear Overdrive,N64,1998,Racing,Kemco,,
Dead or Alive,PS,1998,Fighting,Sony Computer Entertainment,Team Ninja,T
Civilization II,PS,1998,Strategy,Activision,,
Yu-Gi-Oh! Monster Capsule Breed & Battle,PS,1998,Role-Playing,Konami Digital Entertainment,,
Warpath: Jurassic Park,PS,1998,Fighting,Electronic Arts,,
